연월,CCSI,연월_dt,총액_lag_1,CCSI_lag_1,총액_lag_2,CCSI_lag_2,총액_lag_3,CCSI_lag_3,총액_lag_12,CCSI_lag_12,총액_roll_mean_6,총액_roll_std_6,CCSI_roll_mean_6,CCSI_roll_std_6,총액_roll_max_6,총액_roll_min_6,총액_diff_1,CCSI_diff_1,총액_diff_12,CCSI_diff_12,총액_slope_3,CCSI_slope_3,month
202309,99.8,2023-09-01,525986541677.7,103.3,519741298794.3,103.4,523097791556.1,100.8,502660117631.9,91.6,526710860934.0,11288247613.50073,100.10000000000001,3.153410851760305,545537885034.9,513146835850.8,6768271012.5,-3.5,30094695058.299988,8.200000000000003,6506756947.950012,-1.8000000000000043,9
202310,98.2,2023-10-01,532754812690.2,99.8,525986541677.7,103.3,519741298794.3,103.4,526431307244.7,89.0,529679260527.8333,9146619012.575397,100.60000000000001,2.3588132609428083,545537885034.9,519741298794.3,-1797579276.4000244,-1.5999999999999943,4525926169.099976,9.200000000000003,2485345868.049988,-2.549999999999997,10
202311,97.3,2023-11-01,530957233413.8,98.2,532754812690.2,99.8,525986541677.7,103.3,512767050386.7,86.6,524516604952.3333,6861809961.945067,100.46666666666665,2.54375051187539,532754812690.2,514561951581.9,-16395281831.899963,-0.9000000000000057,1794901195.2000122,10.700000000000003,-9096430554.149994,-1.25,11
202312,99.7,2023-12-01,514561951581.9,97.3,530957233413.8,98.2,532754812690.2,99.8,524619653713.4,90.1,525383080180.8833,6974140226.27467,100.28333333333335,2.5545384449380104,532754812690.2,514561951581.9,13734691345.5,2.4000000000000057,3676989214.0,9.600000000000009,-1330295243.1999817,0.75,12
202401,101.6,2024-01-01,528296642927.4,99.7,514561951581.9,97.3,530957233413.8,98.2,485210657713.4,90.7,521728731144.9167,13350847360.622303,99.98333333333333,2.195829380135509,532754812690.2,497815204578.5,-30481438348.900024,1.8999999999999915,12604546865.099976,10.899999999999991,-8373373501.700011,2.1499999999999986,1
202402,101.9,2024-02-01,497815204578.5,101.6,528296642927.4,99.7,514561951581.9,97.3,467895032309.9,90.2,513587346060.5334,22197821771.673805,99.75,1.814111352701272,532754812690.2,477138231171.4,-20676973407.099976,0.30000000000001137,9243198861.5,11.700000000000003,-25579205878.0,1.1000000000000014,2
202403,100.7,2024-03-01,477138231171.4,101.9,497815204578.5,101.6,528296642927.4,99.7,528869368887.0,92.0,513364173211.8333,21972158487.89383,99.90000000000002,1.855801713545831,531415775598.0,477138231171.4,54277544426.599976,-1.2000000000000028,2546406711.0,8.700000000000003,16800285509.749998,-0.44999999999999574,3
202404,100.7,2024-04-01,531415775598.0,100.7,477138231171.4,101.9,497815204578.5,101.6,513146835850.8,95.2,510242101533.05,20234510866.898544,100.31666666666666,1.669031655381742,531415775598.0,477138231171.4,-19190972256.900024,0.0,-922032509.7000122,5.5,17543286084.849976,-0.6000000000000014,4
202405,98.4,2024-05-01,512224803341.1,100.7,531415775598.0,100.7,477138231171.4,101.9,545537885034.9,98.1,512911530702.39996,21905849070.738567,100.5,1.2884098726723745,531415775598.0,477138231171.4,18353723256.900024,-2.299999999999997,-14959358436.900024,0.30000000000001137,-418624500.0,-1.1499999999999986,5
202406,100.9,2024-06-01,530578526598.0,98.4,512224803341.1,100.7,531415775598.0,100.7,523097791556.1,100.8,507816397272.4834,21154064678.742577,100.7,1.231259517729567,531415775598.0,477138231171.4,-32852684250.099976,2.5,-25371949208.19995,0.10000000000000853,-7249480496.599975,0.10000000000000142,6
